FFT_SIZE,PLAN FWD FFTW_ESTIMATE,PLAN BWD FFTW_ESTIMATE ,EXECUTE FWD FFTW_ESTIMATE,EXECUTE BWD FFT_ESTIMATE,PLAN FWD FFTW_MEASURE,PLAN BWD FFTW_MEASURE,EXECUTE FWD FFTW_MEASURE,EXECUTE BWD FFTW_MEASURE,PLAN FWD FFTW_PATIENT,PLAN BWD FFTW_PATIENT,EXECUTE FWD FFTW_PATIENT,EXECUTE BWD FFTW_PATIENT,PLAN FWD FFTW_EXHAUSTIVE,PLAN BWD FFTW_EXHAUSTIVE,EXECUTE FWD FFTW_EXHAUSTIVE,EXECUTE BWD FFTW_EXHAUSTIVE
32,0.000067 ,0.000043 ,0.000002 ,0.000001 ,0.006045 ,0.005950 ,0.000001 ,0.000000 ,0.007948 ,0.007864 ,0.000001 ,0.000001 ,0.562730 ,0.562788 ,0.000001 ,0.000001 
64,0.000067 ,0.000043 ,0.000001 ,0.000000 ,0.006045 ,0.005950 ,0.000001 ,0.000001 ,0.026788 ,0.026833 ,0.000001 ,0.000001 ,1.212225 ,1.211347 ,0.000001 ,0.000000 
128,0.000087 ,0.000065 ,0.000001 ,0.000001 ,0.011398 ,0.011370 ,0.000001 ,0.000001 ,0.069440 ,0.069450 ,0.000001 ,0.000000 ,2.337342 ,2.339837 ,0.000001 ,0.000001 
256,0.000088 ,0.000064 ,0.000001 ,0.000001 ,0.018093 ,0.017996 ,0.000001 ,0.000002 ,0.154444 ,0.154363 ,0.000001 ,0.000002 ,3.571776 ,3.573086 ,0.000002 ,0.000002 
512,0.000097 ,0.000063 ,0.000003 ,0.000003 ,0.028018 ,0.027770 ,0.000003 ,0.000003 ,0.289698 ,0.289587 ,0.000003 ,0.000003 ,5.360794 ,5.363805 ,0.000003 ,0.000003 
1024,0.000071 ,0.000046 ,0.000006 ,0.000005 ,0.043482 ,0.043130 ,0.000005 ,0.000004 ,0.504704 ,0.504618 ,0.000005 ,0.000004 ,7.976763 ,7.986989 ,0.000006 ,0.000005 
2048,0.000081 ,0.000042 ,0.000012 ,0.000011 ,0.071339 ,0.070936 ,0.000012 ,0.000011 ,0.911211 ,0.912065 ,0.000012 ,0.000011 ,11.995319 ,11.991347 ,0.000014 ,0.000012 
4096,0.000103 ,0.000043 ,0.000055 ,0.000055 ,0.123962 ,0.123437 ,0.000031 ,0.000030 ,1.784472 ,1.785376 ,0.000027 ,0.000027 ,21.214384 ,21.281162 ,0.000029 ,0.000027 
8192,0.000255 ,0.000132 ,0.000107 ,0.000102 ,0.248205 ,0.247032 ,0.000079 ,0.000074 ,4.022678 ,4.018486 ,0.000067 ,0.000066 ,35.573936 ,35.570724 ,0.000066 ,0.000066 
16384,0.000326 ,0.000124 ,0.000288 ,0.000274 ,0.502606 ,0.499402 ,0.000178 ,0.000166 ,8.916285 ,8.922840 ,0.000155 ,0.000150 ,68.068230 ,68.118866 ,0.000156 ,0.000148 
32768,0.000464 ,0.000101 ,0.000645 ,0.000607 ,1.008299 ,1.003164 ,0.000425 ,0.000406 ,20.188622 ,20.238636 ,0.000333 ,0.000333 ,128.115753 ,128.221146 ,0.000330 ,0.000323 
65536,0.000791 ,0.000101 ,0.001445 ,0.001416 ,2.418960 ,2.405580 ,0.000870 ,0.000847 ,48.404125 ,48.649269 ,0.000706 ,0.000689 ,242.226486 ,242.813583 ,0.000702 ,0.000692 
131072,0.001432 ,0.000109 ,0.003187 ,0.003142 ,5.368779 ,5.377733 ,0.001843 ,0.001869 ,109.116493 ,109.721062 ,0.001491 ,0.001479 ,461.962341 ,462.864105 ,0.001546 ,0.001488 
262144,0.002831 ,0.000181 ,0.007837 ,0.007599 ,12.771677 ,12.788298 ,0.004229 ,0.004295 ,261.938812 ,262.314392 ,0.003521 ,0.003810 ,962.601868 ,967.752502 ,0.003641 ,0.003811 
524288,0.004133 ,0.003811 ,0.043990 ,0.043750 ,6.534111 ,6.191974 ,0.024474 ,0.025556 ,778.127380 ,772.887878 ,0.011301 ,0.011267 ,2535.894780 ,2521.471920 ,0.011158 ,0.011089 
1048576,0.000350 ,0.000316 ,0.104719 ,0.104105 ,18.296114 ,17.046116 ,0.053438 ,0.054950 ,1764.389890 ,1760.239500 ,0.023528 ,0.023476 ,timeout,timeout,timeout,timeout
